               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.048996,            0.086208,           0.0064949,             0.96031,             0.97546,             0.97091,             0.56229,            0.063167,            0.075685,            0.010172,           0.0073765,           0.0073765,           0.0073765
                  55,            0.047971,            0.083842,           0.0061958,             0.96772,             0.97898,             0.97664,             0.58254,            0.061566,             0.07582,            0.010303,            0.007327,            0.007327,            0.007327
                  56,            0.048393,            0.084755,           0.0062928,             0.97085,             0.97868,             0.97474,             0.58203,            0.059544,            0.072805,            0.010102,           0.0072775,           0.0072775,           0.0072775
                  57,            0.048641,            0.082708,           0.0065472,               0.961,             0.96993,             0.96019,              0.5587,            0.062384,            0.079161,            0.010818,            0.007228,            0.007228,            0.007228
                  58,            0.048141,            0.083422,           0.0064276,             0.96958,             0.97209,             0.97413,             0.58273,            0.061941,            0.074357,            0.010204,           0.0071785,           0.0071785,           0.0071785
                  59,             0.04851,            0.084152,           0.0065145,             0.96623,             0.96469,             0.96453,              0.5355,            0.064967,            0.078449,            0.010484,            0.007129,            0.007129,            0.007129
                  60,            0.048081,            0.083104,           0.0062443,             0.96985,             0.97422,             0.97212,             0.54993,            0.062246,            0.074664,            0.010237,           0.0070795,           0.0070795,           0.0070795
                  61,            0.047835,            0.082656,           0.0062439,              0.9571,              0.9698,             0.95857,             0.58656,            0.061502,            0.074205,             0.01022,             0.00703,             0.00703,             0.00703
                  62,            0.047548,            0.082459,           0.0062351,             0.96087,              0.9645,             0.96117,             0.54274,            0.064164,            0.077165,            0.010331,           0.0069805,           0.0069805,           0.0069805
                  63,            0.048571,            0.083539,           0.0062466,             0.96913,             0.97833,             0.97442,             0.59812,            0.060397,            0.076103,            0.010532,            0.006931,            0.006931,            0.006931
                  64,            0.047676,            0.082058,            0.006328,             0.96409,              0.9685,             0.96631,             0.56237,               0.064,            0.078698,            0.010368,           0.0068815,           0.0068815,           0.0068815
                  65,            0.047513,            0.083642,           0.0063348,             0.96314,             0.96972,             0.96737,             0.58033,            0.061674,            0.074047,            0.010285,            0.006832,            0.006832,            0.006832
                  66,            0.047669,             0.08208,           0.0063931,             0.95603,             0.96943,              0.9649,             0.55187,            0.063938,            0.076193,            0.010316,           0.0067825,           0.0067825,           0.0067825
                  67,            0.047848,            0.082506,           0.0062199,              0.9651,             0.97306,             0.96445,             0.56632,            0.062957,             0.07634,            0.010234,            0.006733,            0.006733,            0.006733
                  68,            0.047537,            0.084881,           0.0062036,             0.96249,             0.96701,              0.9647,             0.58524,             0.06286,             0.07679,            0.010485,           0.0066835,           0.0066835,           0.0066835
                  69,            0.047018,            0.082468,           0.0060571,              0.9624,             0.96939,             0.95895,             0.53101,            0.065772,            0.081743,            0.010682,            0.006634,            0.006634,            0.006634
                  70,            0.047689,            0.083136,           0.0062195,             0.97156,             0.97461,             0.97285,             0.56848,             0.06193,             0.07423,            0.010265,           0.0065845,           0.0065845,           0.0065845
                  71,            0.047304,            0.085537,           0.0061354,             0.96613,             0.97482,              0.9731,             0.57315,            0.062517,            0.078172,            0.010515,            0.006535,            0.006535,            0.006535
                  72,            0.046499,            0.080641,           0.0061103,               0.963,             0.97673,             0.96913,             0.56735,            0.063419,            0.080181,            0.010627,           0.0064855,           0.0064855,           0.0064855
                  73,            0.046753,            0.082191,           0.0061151,             0.97252,              0.9758,             0.97672,             0.59152,            0.059797,            0.075481,            0.010495,            0.006436,            0.006436,            0.006436
                  74,            0.047319,            0.083429,           0.0060763,              0.9649,             0.97583,             0.97046,             0.57965,            0.061078,            0.075918,            0.010487,           0.0063865,           0.0063865,           0.0063865
                  75,            0.047141,            0.083871,           0.0061568,             0.96349,             0.97746,             0.97244,              0.5757,             0.06177,            0.076009,            0.010381,            0.006337,            0.006337,            0.006337
                  76,            0.047695,            0.081381,           0.0062682,             0.96035,             0.96544,              0.9648,             0.57077,            0.061928,            0.074919,             0.01002,           0.0062875,           0.0062875,           0.0062875
                  77,            0.047041,            0.082465,           0.0061657,             0.96461,             0.97624,             0.96932,             0.60256,            0.060452,            0.074978,            0.010286,            0.006238,            0.006238,            0.006238
                  78,            0.046551,            0.081998,           0.0060502,             0.95984,             0.96241,              0.9601,             0.56309,            0.063919,            0.078417,              0.0106,           0.0061885,           0.0061885,           0.0061885
                  79,            0.046146,            0.081859,           0.0059584,             0.96315,             0.96917,             0.96466,             0.57233,             0.06188,            0.076977,            0.010273,            0.006139,            0.006139,            0.006139
                  80,            0.046016,            0.081721,           0.0059182,             0.95787,             0.97238,             0.96222,             0.56147,             0.06341,            0.077732,            0.010325,           0.0060895,           0.0060895,           0.0060895
                  81,             0.04578,            0.081519,           0.0057637,             0.95469,              0.9682,             0.95626,             0.56804,            0.063933,            0.079103,            0.010437,             0.00604,             0.00604,             0.00604
                  82,            0.046813,            0.082362,           0.0060574,             0.96224,             0.96362,             0.96131,             0.57566,            0.063285,            0.076505,            0.010216,           0.0059905,           0.0059905,           0.0059905
                  83,            0.046517,            0.080943,           0.0060257,             0.96425,             0.96676,             0.96286,             0.57395,            0.063729,            0.077497,            0.010164,            0.005941,            0.005941,            0.005941
                  84,            0.046786,            0.082029,           0.0062284,               0.963,             0.96771,             0.96555,             0.57491,            0.063882,            0.078176,            0.010362,           0.0058915,           0.0058915,           0.0058915
                  85,            0.046315,            0.080895,            0.006138,             0.96337,             0.96507,             0.96345,             0.56404,            0.062649,            0.076686,            0.010102,            0.005842,            0.005842,            0.005842
                  86,            0.046051,            0.079799,           0.0060138,             0.96168,             0.97405,             0.96906,             0.57548,            0.062507,             0.07903,            0.010374,           0.0057925,           0.0057925,           0.0057925
                  87,             0.04632,            0.081188,           0.0059572,             0.96258,              0.9666,             0.96158,             0.54478,            0.064009,            0.080006,            0.010287,            0.005743,            0.005743,            0.005743
                  88,            0.046553,            0.080755,           0.0060646,             0.96619,              0.9742,             0.97041,              0.5772,            0.062129,            0.077329,            0.010226,           0.0056935,           0.0056935,           0.0056935
                  89,            0.046259,            0.082048,            0.005831,             0.96525,             0.97312,             0.97128,             0.57143,            0.062117,            0.076762,            0.010214,            0.005644,            0.005644,            0.005644
                  90,            0.045638,            0.082326,           0.0057644,             0.96358,             0.97283,             0.96636,             0.58115,            0.061971,            0.078698,            0.010525,           0.0055945,           0.0055945,           0.0055945
                  91,            0.045268,            0.079491,           0.0058494,             0.95879,             0.96814,             0.96155,             0.57004,            0.063349,            0.079102,             0.01047,            0.005545,            0.005545,            0.005545
                  92,             0.04591,            0.079486,            0.005904,             0.96212,             0.96354,             0.95974,             0.56134,            0.064272,             0.07948,            0.010259,           0.0054955,           0.0054955,           0.0054955
